ID,Phase,Area,Task,Description,Status,Priority,Depends On,Location / Evidence
F-01,0 Foundation,Governance,Project rules and conventions,"CLAUDE.md (hard invariants, phase discipline), docs/conventions.md (naming, layout, migrations, errors, tests), docs/glossary.md (domain vocabulary and the terms it is confused with).",Done,P0,,"CLAUDE.md, docs/"
F-02,0 Foundation,Governance,Architecture decision records,"Eight records covering datastore, model tiering, repository layout, backend framework, frontend stack, spec-first codegen, and authentication.",Done,P0,,docs/decisions/0001-0008
F-03,0 Foundation,Database,Local Postgres provisioning,Non-superuser warp role owning the warp database; pgvector installed once by a superuser because it is not a trusted extension. make setup is re-runnable and does not rotate a working password.,Done,P0,,"infra/scripts/create-db.sh, Makefile"
F-04,0 Foundation,Database,Migration pipeline,"goose, one module per migration, 19 applied. Naming, version uniqueness and goose annotations are enforced by tests so a duplicate version fails the build instead of panicking at runtime.",Done,P0,F-03,"db/migrations, db/migrations_test.go"
F-05,0 Foundation,Database,Typed query layer,sqlc generates Go from hand-written SQL. No ORM. Generated code is read-only in the editor.,Done,P0,F-04,"db/queries, internal/store"
F-06,0 Foundation,API contract,OpenAPI document as source of truth,"14 operations declared. Validation lives in the schema: required parameters, uuid formats, ranges, and a returnTo pattern that makes an open redirect unexpressible.",Done,P0,,docs/api/openapi.yaml
F-07,0 Foundation,API contract,Go server generation,"ogen generates router, parameter decoding and validation. Routes are declared in the spec, never in Go. An unimplemented operation answers 501, so adding one cannot break the build. make check fails when the generated code is stale.",Done,P0,F-06,apps/api/internal/api
F-08,0 Foundation,API contract,TypeScript client generation,openapi-typescript emits schema.d.ts from the same document; openapi-fetch consumes it. This is what closes the gap accepted in ADR 0005 - Go and TypeScript cannot share types by construction.,Done,P0,F-06,"apps/web/src/lib/api, pnpm api:types"
F-09,0 Foundation,API,HTTP outer server,"Echo owns request ids, structured logging, panic recovery, body limit. One error envelope for every failure, produced by a single classify function shared by both of ogen's error paths.",Done,P0,F-07,apps/api/internal/httpapi
F-10,0 Foundation,API,Health and readiness,/healthz touches no dependency so a database outage does not get the container restarted. /readyz compares the migration version compiled into the binary against the one applied.,Done,P1,F-04,"httpapi/health.go, platform/postgres"
F-11,0 Foundation,API,Browsable contract,"Swagger UI at /docs with embedded assets - works offline, and no CDN learns which endpoints are read. The spec is embedded in the binary, so a deployed service cannot document something other than what it runs.",Done,P2,F-06,"httpapi/docs.go, docs/api/embed.go"
F-12,0 Foundation,Tooling,Single-command dev runner,"make dev builds then runs the binaries directly (not go run, whose child survives a kill), prefixes and colours each service's output, refuses to start when a port is held, names which service died and why, and shuts the whole tree down on Ctrl-C.",Done,P1,,infra/scripts/dev.sh
F-13,0 Foundation,Tooling,Editor and debugger setup,"Debug configurations for api, worker, web server and browser, plus compounds. Generated directories are marked read-only so the no-hand-editing rule is enforced rather than documented.",Done,P2,,..vscode/
F-14,0 Foundation,Worker,Background worker skeleton,"asynq server with graceful shutdown, its logging routed through slog so the process emits one format. No handlers registered yet.",Done,P1,,apps/worker
F-15,0 Foundation,Quality,Test baseline,"Five packages green: contract behaviour, migration hygiene, seed hygiene, domain purity, auth cryptography.",Done,P1,,go test ./...
F-16,0 Foundation,Quality,Continuous integration,"No pipeline yet. make check already encodes the gate (vet, test, stale-codegen); this is wiring it to run on push.",Not Started,P2,F-15,
F-17,0 Foundation,Deployment,Deployment target,"Dockerfiles and a compose file exist and target a single VPS, but the owner has since said no VPS deployment is needed. The context document and ADRs 0002/0005 still describe the VPS. Confirm the target before they drift further.",Decision Needed,P2,,"infra/, docs/warp-project-context.md 8"
A-01,1 See,Auth,Authentication schema,"auth_providers (one row per way in, unique on kind+subject), auth_sessions (hash of the token only, revocable), auth_passwords (argon2id, kept out of auth_providers so SELECT * stays safe to serialise). A composite foreign key makes a password credential attachable only to a password identity.",Done,P0,F-04,"db/migrations/00003, 00018, 00019"
A-02,1 See,Auth,Password hashing,"argon2id at OWASP parameters, encoded with its own cost so raising it later does not invalidate stored hashes. Constant-time comparison. NeedsRehash reports hashes below the current parameters.",Done,P0,,internal/auth/password.go
A-03,1 See,Auth,Session issue and verification,"32 bytes of entropy, sha256 stored, HttpOnly SameSite=Lax cookie, Secure only in production. Expiry and revocation are part of the lookup predicate so no caller can forget them.",Done,P0,A-01,"internal/auth/session.go, httpapi/auth.go"
